hour,traffic_volume_sum,traffic_volume_avg,records,temperature,humidity,wind_speed
2008-03-24 08:00:00,47,47.0,1,0.94,54.0,11.62
2008-03-24 09:00:00,172,43.0,4,0.94,54.0,11.62
2008-03-24 10:00:00,195,48.75,4,0.94,54.0,11.62
2008-03-24 11:00:00,210,52.5,4,0.94,54.0,11.62
2008-03-24 12:00:00,248,62.0,4,0.94,54.0,11.62
2008-03-24 13:00:00,268,67.0,4,0.94,54.0,11.62
2008-03-24 14:00:00,306,76.5,4,0.94,54.0,11.62
2008-03-24 15:00:00,344,86.0,4,0.94,54.0,11.62
2008-03-24 16:00:00,389,97.25,4,0.94,54.0,11.62
2008-03-24 17:00:00,357,89.25,4,0.94,54.0,11.62
2008-03-24 18:00:00,304,76.0,4,0.94,54.0,11.62
2008-03-24 19:00:00,218,54.5,4,0.94,54.0,11.62
2008-03-24 20:00:00,192,48.0,4,0.94,54.0,11.62
2008-03-24 21:00:00,162,40.5,4,0.94,54.0,11.62
2008-03-24 22:00:00,107,26.75,4,0.94,54.0,11.62
2008-03-24 23:00:00,116,29.0,4,0.94,54.0,11.62
2008-03-25 00:00:00,88,22.0,4,0.94,54.0,11.62
2008-03-25 01:00:00,38,9.5,4,0.94,54.0,11.62
2008-03-25 02:00:00,34,8.5,4,0.94,54.0,11.62
2008-03-25 03:00:00,30,7.5,4,0.94,54.0,11.62
2008-03-25 04:00:00,42,10.5,4,0.94,54.0,11.62
2008-03-25 05:00:00,72,18.0,4,0.94,54.0,11.62
2008-03-25 06:00:00,163,40.75,4,0.94,54.0,11.62
2008-03-25 07:00:00,183,45.75,4,0.94,54.0,11.62
2008-03-25 08:00:00,207,51.75,4,0.94,54.0,11.62
2008-03-25 09:00:00,190,47.5,4,0.94,54.0,11.62
2008-03-25 10:00:00,175,43.75,4,0.94,54.0,11.62
2008-03-25 11:00:00,229,57.25,4,0.94,54.0,11.62
2008-03-25 12:00:00,278,69.5,4,0.94,54.0,11.62
2008-03-25 13:00:00,264,66.0,4,0.94,54.0,11.62
2008-03-25 14:00:00,275,68.75,4,0.94,54.0,11.62
2008-03-25 15:00:00,391,97.75,4,0.94,54.0,11.62
2008-03-25 16:00:00,395,98.75,4,0.94,54.0,11.62
2008-03-25 17:00:00,366,91.5,4,0.94,54.0,11.62
