datetime,location,volume,hour
2016-05-08 08:45:00,Queens,260,2016-05-08 08:00:00
2016-05-08 09:00:00,Queens,243,2016-05-08 09:00:00
2016-05-08 09:15:00,Queens,245,2016-05-08 09:00:00
2016-05-08 09:30:00,Queens,304,2016-05-08 09:00:00
2016-05-08 09:45:00,Queens,312,2016-05-08 09:00:00
2016-05-08 10:00:00,Queens,331,2016-05-08 10:00:00
2016-05-08 10:15:00,Queens,331,2016-05-08 10:00:00
2016-05-08 10:30:00,Queens,344,2016-05-08 10:00:00
2016-05-08 10:45:00,Queens,397,2016-05-08 10:00:00
2016-05-08 11:00:00,Queens,356,2016-05-08 11:00:00
2016-05-08 11:15:00,Queens,394,2016-05-08 11:00:00
2016-05-08 11:30:00,Queens,399,2016-05-08 11:00:00
2016-05-08 11:45:00,Queens,439,2016-05-08 11:00:00
2016-05-08 12:00:00,Queens,398,2016-05-08 12:00:00
2016-05-08 12:15:00,Queens,416,2016-05-08 12:00:00
2016-05-08 12:30:00,Queens,358,2016-05-08 12:00:00
2016-05-08 12:45:00,Queens,405,2016-05-08 12:00:00
2016-05-08 13:00:00,Queens,428,2016-05-08 13:00:00
2016-05-08 13:15:00,Queens,446,2016-05-08 13:00:00
2016-05-08 13:30:00,Queens,413,2016-05-08 13:00:00
2016-05-08 13:45:00,Queens,437,2016-05-08 13:00:00
2016-05-08 14:00:00,Queens,391,2016-05-08 14:00:00
2016-05-08 14:15:00,Queens,427,2016-05-08 14:00:00
2016-05-08 14:30:00,Queens,389,2016-05-08 14:00:00
2016-05-08 14:45:00,Queens,460,2016-05-08 14:00:00
2016-05-08 15:00:00,Queens,419,2016-05-08 15:00:00
2016-05-08 15:15:00,Queens,454,2016-05-08 15:00:00
2016-05-08 15:30:00,Queens,405,2016-05-08 15:00:00
2016-05-08 15:45:00,Queens,501,2016-05-08 15:00:00
2016-05-08 16:00:00,Queens,447,2016-05-08 16:00:00
2016-05-08 16:15:00,Queens,484,2016-05-08 16:00:00
2016-05-08 16:30:00,Queens,427,2016-05-08 16:00:00
2016-05-08 16:45:00,Queens,456,2016-05-08 16:00:00
2016-05-08 17:00:00,Queens,471,2016-05-08 17:00:00
2016-05-08 17:15:00,Queens,480,2016-05-08 17:00:00
2016-05-08 17:30:00,Queens,448,2016-05-08 17:00:00
2016-05-08 17:45:00,Queens,446,2016-05-08 17:00:00
2016-05-08 18:00:00,Queens,629,2016-05-08 18:00:00
2016-05-08 18:15:00,Queens,524,2016-05-08 18:00:00
2016-05-08 18:30:00,Queens,422,2016-05-08 18:00:00
2016-05-08 18:45:00,Queens,422,2016-05-08 18:00:00
2016-05-08 19:00:00,Queens,375,2016-05-08 19:00:00
2016-05-08 19:15:00,Queens,411,2016-05-08 19:00:00
2016-05-08 19:30:00,Queens,384,2016-05-08 19:00:00
2016-05-08 19:45:00,Queens,392,2016-05-08 19:00:00
2016-05-08 20:00:00,Queens,369,2016-05-08 20:00:00
2016-05-08 20:15:00,Queens,404,2016-05-08 20:00:00
2016-05-08 20:30:00,Queens,399,2016-05-08 20:00:00
2016-05-08 20:45:00,Queens,358,2016-05-08 20:00:00
2016-05-08 21:00:00,Queens,349,2016-05-08 21:00:00
2016-05-08 21:15:00,Queens,314,2016-05-08 21:00:00
2016-05-08 21:30:00,Queens,297,2016-05-08 21:00:00
2016-05-08 21:45:00,Queens,302,2016-05-08 21:00:00
2016-05-08 22:00:00,Queens,280,2016-05-08 22:00:00
2016-05-08 22:15:00,Queens,253,2016-05-08 22:00:00
2016-05-08 22:30:00,Queens,253,2016-05-08 22:00:00
2016-05-08 22:45:00,Queens,245,2016-05-08 22:00:00
2016-05-08 23:00:00,Queens,216,2016-05-08 23:00:00
2016-05-08 23:15:00,Queens,263,2016-05-08 23:00:00
2016-05-08 23:30:00,Queens,207,2016-05-08 23:00:00
2016-05-08 23:45:00,Queens,144,2016-05-08 23:00:00
2016-05-09 00:00:00,Queens,129,2016-05-09 00:00:00
2016-05-09 00:15:00,Queens,108,2016-05-09 00:00:00
2016-05-09 00:30:00,Queens,100,2016-05-09 00:00:00
2016-05-09 00:45:00,Queens,67,2016-05-09 00:00:00
2016-05-09 01:00:00,Queens,82,2016-05-09 01:00:00
2016-05-09 01:15:00,Queens,68,2016-05-09 01:00:00
2016-05-09 01:30:00,Queens,55,2016-05-09 01:00:00
2016-05-09 01:45:00,Queens,45,2016-05-09 01:00:00
2016-05-09 02:00:00,Queens,53,2016-05-09 02:00:00
2016-05-09 02:15:00,Queens,41,2016-05-09 02:00:00
2016-05-09 02:30:00,Queens,45,2016-05-09 02:00:00
2016-05-09 02:45:00,Queens,52,2016-05-09 02:00:00
2016-05-09 03:00:00,Queens,39,2016-05-09 03:00:00
2016-05-09 03:15:00,Queens,37,2016-05-09 03:00:00
2016-05-09 03:30:00,Queens,49,2016-05-09 03:00:00
2016-05-09 03:45:00,Queens,68,2016-05-09 03:00:00
2016-05-09 04:00:00,Queens,62,2016-05-09 04:00:00
2016-05-09 04:15:00,Queens,67,2016-05-09 04:00:00
2016-05-09 04:30:00,Queens,124,2016-05-09 04:00:00
2016-05-09 04:45:00,Queens,150,2016-05-09 04:00:00
2016-05-09 05:00:00,Queens,179,2016-05-09 05:00:00
2016-05-09 05:15:00,Queens,251,2016-05-09 05:00:00
2016-05-09 05:30:00,Queens,309,2016-05-09 05:00:00
2016-05-09 05:45:00,Queens,355,2016-05-09 05:00:00
2016-05-09 06:00:00,Queens,426,2016-05-09 06:00:00
2016-05-09 06:15:00,Queens,461,2016-05-09 06:00:00
2016-05-09 06:30:00,Queens,497,2016-05-09 06:00:00
2016-05-09 06:45:00,Queens,489,2016-05-09 06:00:00
2016-05-09 07:00:00,Queens,500,2016-05-09 07:00:00
2016-05-09 07:15:00,Queens,486,2016-05-09 07:00:00
2016-05-09 07:30:00,Queens,443,2016-05-09 07:00:00
2016-05-09 07:45:00,Queens,485,2016-05-09 07:00:00
2016-05-09 08:00:00,Queens,410,2016-05-09 08:00:00
2016-05-09 08:15:00,Queens,413,2016-05-09 08:00:00
2016-05-09 08:30:00,Queens,380,2016-05-09 08:00:00
2016-05-09 08:45:00,Queens,368,2016-05-09 08:00:00
2016-05-09 09:00:00,Queens,362,2016-05-09 09:00:00
2016-05-09 09:15:00,Queens,347,2016-05-09 09:00:00
2016-05-09 09:30:00,Queens,360,2016-05-09 09:00:00
2016-05-09 09:45:00,Queens,379,2016-05-09 09:00:00
2016-05-09 10:00:00,Queens,327,2016-05-09 10:00:00
2016-05-09 10:15:00,Queens,302,2016-05-09 10:00:00
2016-05-09 10:30:00,Queens,314,2016-05-09 10:00:00
2016-05-09 10:45:00,Queens,377,2016-05-09 10:00:00
2013-05-11 14:00:00,Queens,252,2013-05-11 14:00:00
2013-05-11 14:15:00,Queens,240,2013-05-11 14:00:00
2013-05-11 14:30:00,Queens,231,2013-05-11 14:00:00
2013-05-11 14:45:00,Queens,247,2013-05-11 14:00:00
2013-05-11 15:00:00,Queens,237,2013-05-11 15:00:00
2013-05-11 15:15:00,Queens,238,2013-05-11 15:00:00
2013-05-11 15:30:00,Queens,234,2013-05-11 15:00:00
2013-05-11 15:45:00,Queens,241,2013-05-11 15:00:00
2013-05-11 16:00:00,Queens,259,2013-05-11 16:00:00
2013-05-11 16:15:00,Queens,229,2013-05-11 16:00:00
2013-05-11 16:30:00,Queens,221,2013-05-11 16:00:00
2013-05-11 16:45:00,Queens,225,2013-05-11 16:00:00
2013-05-11 17:00:00,Queens,208,2013-05-11 17:00:00
2013-05-11 17:15:00,Queens,213,2013-05-11 17:00:00
2013-05-11 17:30:00,Queens,235,2013-05-11 17:00:00
2013-05-11 17:45:00,Queens,249,2013-05-11 17:00:00
2013-05-11 18:00:00,Queens,248,2013-05-11 18:00:00
2013-05-11 18:15:00,Queens,266,2013-05-11 18:00:00
2013-05-11 18:30:00,Queens,263,2013-05-11 18:00:00
2013-05-11 18:45:00,Queens,222,2013-05-11 18:00:00
2013-05-11 19:00:00,Queens,247,2013-05-11 19:00:00
2013-05-11 19:15:00,Queens,253,2013-05-11 19:00:00
2013-05-11 19:30:00,Queens,234,2013-05-11 19:00:00
2013-05-11 19:45:00,Queens,197,2013-05-11 19:00:00
2013-05-11 20:00:00,Queens,196,2013-05-11 20:00:00
2013-05-11 20:15:00,Queens,201,2013-05-11 20:00:00
2013-05-11 20:30:00,Queens,173,2013-05-11 20:00:00
2013-05-11 20:45:00,Queens,164,2013-05-11 20:00:00
2013-05-11 21:00:00,Queens,151,2013-05-11 21:00:00
2013-05-11 21:15:00,Queens,162,2013-05-11 21:00:00
2013-05-11 21:30:00,Queens,143,2013-05-11 21:00:00
2013-05-11 21:45:00,Queens,142,2013-05-11 21:00:00
2013-05-11 22:00:00,Queens,138,2013-05-11 22:00:00
